item ID,categories
168313,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Costumes & Accessories],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Exotic Apparel]]"
156291,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Lingerie,Bustiers & Corsets]]"
179737,"[[Clothing, Shoes & Jewelry,Jewelry Outlet],[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Earrings]]"
3272,"[[Clothing, Shoes & Jewelry,Jewelry Outlet],[Clothing, Shoes & Jewelry,Women,Jewelry,Fine,Earrings,Stud],[Clothing, Shoes & Jewelry,Women,Jewelry,Fashion,Earrings,Stud],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
236387,"[[Clothing, Shoes & Jewelry,Women,Petite,Tops & Tees,Polos],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Work Wear & Uniforms,Clothing]]"
96085,"[[Clothing, Shoes & Jewelry,S,Southpole],[Clothing, Shoes & Jewelry,Men,Clothing,Jeans],[Clothing, Shoes & Jewelry,Men,Big & Tall,Jeans],[Clothing, Shoes & Jewelry,Men,Surf, Skate & Street,Clothing,Jeans]]"
130122,"[[Clothing, Shoes & Jewelry,Baby,Baby Girls],[Clothing, Shoes & Jewelry,Baby,Baby Boys],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing]]"
196080,"[[Clothing, Shoes & Jewelry,Baby,Baby Girls,Accessories,Socks]]"
236388,"[[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
236389,"[[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
236390,"[[Clothing, Shoes & Jewelry,Men],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Men,Shirts,T-Shirts]]"
236391,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
54287,"[[Clothing, Shoes & Jewelry,Women,Clothing,Skirts,Casual]]"
227497,"[[Clothing, Shoes & Jewelry,Women,Clothing,Skirts,Casual]]"
168225,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,E,ECCO],[Clothing, Shoes & Jewelry,Comfort Shoes],[Clothing, Shoes & Jewelry,Men,Shoes,Loafers & Slip-Ons]]"
16970,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,G,Geox],[Clothing, Shoes & Jewelry,Comfort Shoes],[Clothing, Shoes & Jewelry,Men,Shoes,Loafers & Slip-Ons]]"
133261,"[[Clothing, Shoes & Jewelry,Girls,Clothing,Dresses,Special Occasion]]"
193578,"[[Clothing, Shoes & Jewelry,Boys,Clothing,Suits & Sport Coats,Suits]]"
186044,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Women,Leggings]]"
138973,"[[Clothing, Shoes & Jewelry,Women,Clothing,Leggings],[Clothing, Shoes & Jewelry,Women,Petite,Leggings]]"
35995,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,W,Walking Cradles],[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
168292,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,N,Naturalizer],[Clothing, Shoes & Jewelry,Comfort Shoes],[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
214005,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Night Out & Cocktail]]"
227154,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Casual],[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Night Out & Cocktail]]"
7933,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Work Wear & Uniforms,Clothing,Military,Men,Outerwear]]"
236392,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Work Wear & Uniforms,Clothing,Military,Men,Outerwear]]"
194690,"[[Clothing, Shoes & Jewelry,I,IZOD],[Clothing, Shoes & Jewelry,Men,Clothing,Jackets & Coats,Fleece]]"
217468,"[[Sports & Outdoors,Clothing,Women,Shirts,T-Shirts],[Clothing, Shoes & Jewelry,Women,Petite,Tops & Tees,Knits & Tees]]"
236393,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Bracelets]]"
96885,"[[Clothing, Shoes & Jewelry,Wedding Party Gifts,Gifts for the Bride],[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Charms]]"
192909,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Women,Tops & Tees,T-Shirts]]"
236394,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Movie & TV Fan,Tops & Tees,T-Shirts]]"
70942,"[[Clothing, Shoes & Jewelry,Jewelry: International Shipping Available],[Clothing, Shoes & Jewelry,Shop by Designer],[Clothing, Shoes & Jewelry,K,Kenneth Cole New York],[Clothing, Shoes & Jewelry,Contemporary Designer Jewelry],[Clothing, Shoes & Jewelry,Women,Jewelry,Fashion,Necklaces,Chains],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
200910,"[[Clothing, Shoes & Jewelry,Gemstones],[Clothing, Shoes & Jewelry,Wedding Party Gifts,Gifts for the Bride],[Clothing, Shoes & Jewelry,Women,Jewelry,Fine,Rings],[Clothing, Shoes & Jewelry,Women,Jewelry,Fashion,Rings],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
101242,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Body Jewelry,Piercing Jewelry,Rings]]"
40552,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Body Jewelry,Piercing Jewelry,Screws]]"
100109,"[[Clothing, Shoes & Jewelry,Men,Accessories,Wallets, Card Cases & Money Organizers,Wallets]]"
39370,"[[Clothing, Shoes & Jewelry,Women,Accessories,Wallets, Card Cases & Money Organizers,Wallets]]"
4982,"[[Clothing, Shoes & Jewelry,Women,Clothing,Skirts,Casual]]"
198806,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Costumes & Accessories]]"
5189,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Everyday Bras],[Clothing, Shoes & Jewelry,Women,Petite,Intimates,Bras,Everyday Bras]]"
106682,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge],[Clothing, Shoes & Jewelry,Women,Petite],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Band & Music Fan,Accessories]]"
65468,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,Winter Promo],[Clothing, Shoes & Jewelry,M,Minnetonka],[Clothing, Shoes & Jewelry,Women,Shoes,Loafers & Slip-Ons]]"
212386,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,Winter Promo],[Clothing, Shoes & Jewelry,M,Minnetonka],[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Men]]"
231507,"[[Clothing, Shoes & Jewelry,Men,Clothing,Underwear,Boxer Briefs]]"
193613,"[[Clothing, Shoes & Jewelry,Men,Clothing,Underwear,Boxer Briefs]]"
98120,"[[Clothing, Shoes & Jewelry,Women,Clothing,Socks & Hosiery,Casual Socks],[Clothing, Shoes & Jewelry,Women,Petite,Socks & Hosiery,Casual Socks]]"
158104,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry]]"
13942,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,World Apparel]]"
88272,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,World Apparel]]"
167786,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Exotic Apparel,Women,Bustiers & Corsets]]"
236395,"[[Clothing, Shoes & Jewelry,Girls,Clothing,Tops & Tees,Blouses & Button-Down Shirts],[Clothing, Shoes & Jewelry,Girls,School Uniforms,Clothing,Tops]]"
236396,"[[Sports & Outdoors,Clothing,Girls,Hoodies],[Clothing, Shoes & Jewelry,P,Puma],[Clothing, Shoes & Jewelry,Girls,Clothing,Active,Active Hoodies]]"
119152,"[[Sports & Outdoors,Clothing,Boys,Shirts],[Clothing, Shoes & Jewelry,ASICS],[Clothing, Shoes & Jewelry,Boys,Clothing,Active,Active Shirts & Tees]]"
183323,"[[Sports & Outdoors,Clothing,Boys,Shirts],[Clothing, Shoes & Jewelry,ASICS],[Clothing, Shoes & Jewelry,Boys,Clothing,Active,Active Shirts & Tees]]"
17583,"[[Clothing, Shoes & Jewelry,Men],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Men,Shirts,T-Shirts]]"
85199,"[[Clothing, Shoes & Jewelry,Men],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Band & Music Fan,T-Shirts]]"
49399,"[[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Shoe Care & Accessories,Shoe & Boot Trees]]"
177950,"[[Clothing, Shoes & Jewelry,Men,Accessories,Bow Ties & Cummerbunds,Bow Ties]]"
223744,"[[Clothing, Shoes & Jewelry,Men,Accessories,Bow Ties & Cummerbunds,Bow Ties]]"
201274,"[[Clothing, Shoes & Jewelry,Men,Accessories,Bow Ties & Cummerbunds,Bow Ties]]"
136314,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Everyday Bras],[Clothing, Shoes & Jewelry,Women,Plus-Size]]"
33945,"[[Clothing, Shoes & Jewelry,Women,Clothing,Lingerie, Sleep & Lounge,Intimates,Bras,Everyday Bras],[Clothing, Shoes & Jewelry,Women,Plus-Size]]"
127394,"[[Clothing, Shoes & Jewelry,Jewelry: International Shipping Available],[Clothing, Shoes & Jewelry,Amazon Curated Collection],[Clothing, Shoes & Jewelry,Women,Jewelry,Fine,Necklaces,Pendants],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty]]"
236397,"[[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
198366,"[[Clothing, Shoes & Jewelry,Jewelry Outlet],[Clothing, Shoes & Jewelry,Women],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Jewelry,Necklaces & Pendants]]"
102140,"[[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
213394,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,S,SOLE],[Clothing, Shoes & Jewelry,Women,Shoes,Sandals]]"
126421,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,S,Skechers],[Clothing, Shoes & Jewelry,Comfort Shoes],[Clothing, Shoes & Jewelry,Men,Shoes,Athletic,Running],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Work Wear & Uniforms]]"
5748,"[[Clothing, Shoes & Jewelry,Shoes & Accessories: International Shipping Available],[Clothing, Shoes & Jewelry,F,Fila],[Clothing, Shoes & Jewelry,Men,Shoes,Fashion Sneakers]]"
228530,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Night Out & Cocktail]]"
143255,"[[Clothing, Shoes & Jewelry,Women,Clothing,Dresses,Night Out & Cocktail]]"
35210,"[[Clothing, Shoes & Jewelry,Women,Accessories,Scarves & Wraps,Fashion Scarves]]"
142926,"[[Clothing, Shoes & Jewelry,Women,Accessories,Scarves & Wraps,Fashion Scarves]]"
46955,"[[Clothing, Shoes & Jewelry,Men,Clothing,Swim,Trunks]]"
34753,"[[Clothing, Shoes & Jewelry,Women,Clothing,Swimsuits & Cover Ups,Board Shorts],[Clothing, Shoes & Jewelry,Women,Juniors,Swimsuits & Cover Ups,Board Shorts]]"
117737,"[[Clothing, Shoes & Jewelry,Women,Clothing,Swimsuits & Cover Ups,Rash Guards]]"
236400,"[[Clothing, Shoes & Jewelry,Women,Clothing,Coats & Jackets,Leather & Faux Leather]]"
150071,"[[Clothing, Shoes & Jewelry,Men],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Men,Shirts,T-Shirts]]"
170834,"[[Clothing, Shoes & Jewelry,Men,Big & Tall],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Novelty,Clothing,Men,Shirts,T-Shirts]]"
140249,"[[Clothing, Shoes & Jewelry,Luggage & Travel Gear,Backpacks,Casual Daypacks]]"
7009,"[[Clothing, Shoes & Jewelry,Men,Accessories,Wallets, Card Cases & Money Organizers,Wallets],[Clothing, Shoes & Jewelry,Novelty, Costumes & More,Band & Music Fan,Accessories]]"
146988,"[[Clothing, Shoes & Jewelry,Luggage & Travel Gear,Backpacks,Casual Daypacks]]"
