bundle ID,intent
0,different style of Top
1,swimsuit
2,Lingerie and sexy accessories
3,Leggings with different styles
4,different style of bracelet
5,different style of watches
6,All 3 are under shoes category 
7,Cinderella Child Costume
8,Rings
9,different style of jeans
10,different style of bags
11,Necklace
12,Girls pant &Shirts
13,for babies wear
14,pajama set
15,fashion
16,Winter caps with different colors
17,womens rings in different styles
18,womens jewelery
19,Ring
20,Bangle/bracelet
21,Men's Jewelry
22,Necklace with different style
23,boat neck sleeve blouse and long sleeve stretch blouse 
24,the hunger game and Men black necklace and clothing fire pin prop 
25,jewelry
26,boot
27,men's shoe
28,super
29,Women's footwear
30,Pumps
31,Sports
32,Workout outfit
33,Possible night out party wear
34,Jewelry 
35,Earings
36,Rings
37,"ring,earing,chain related to women"
38,women sneakers and boots
39,"1,3,4,5,6 are relavant"
40,"Women's outfit to keep warm with fleece leggings, 2 different option of hooded vest or a puffer jackethooded"
41,WOMEN SLEEVE AND SLEEVELESS DRESS
42,Shirt
43,SLIPPER
44,Earrings and pendants set
45,women's sandals
46,Bikini items 
47,underwear
48,different style of bags
49,different style of boot
50,various costume jewellery items
51,Baby dress
52,for the own purpose these product was want
53,Boot
54,Gloves
55,Comfortsoft Cotton Stretch and Women's Plus Size Faux Shearling Long CoatLow Rise Brief Panty
56,Item 2 and 4 are Same products
57,shirt
58,WOMENS T-SHIRT
59,WOMENS DRESS
60,Long line Bra
61,different style of shoes
62,Flip flops 
63,same style sandal different colour
64,Women socks
65,tights/leggings
66,different style of socks
67,girl shoes
68,Crocs for kids
69,Belts
70,boots
71,Women's Boots
72,woomen boot
73,for packing
74,cold weather gloves 
75,ring
76,Winter warm up 
77,women's shirt and blouse
78,Women's shirts with different styles
79,Different style of shoes
80,winter wear
81,champion intent
82,women's boots
83,animal prints
84,4
85,womens dresses
86,womens accessories
87,Men's Pant
88,party
89,WOMEN'S TOPS
90,different style of watches
91,different style of shoes
92,womens rain boot
93,women's leg warmer
94,women's boots
95,Leggins
96,Women's bra
97,jewelry set
98,Winter clothing and wear
99,"Shemagh Military Tactical Desert Scarf, Men's Principle Belt and Gold Grill T-Shirt"
100,Women's pants and top
101,Men's pullover and shirt
102,baby dress
103,bags
104,high heeled shoes
105,fashion jewelry
106,accesories/jewelry
107,Women's clothing and accessories
108,Womens tops different styles
109,good quality
110,WOMEN BOOTES
111,wedge sandal
112,earrings with different style
113,rings with different style
114,gold  earing
115,New clothing 
116,Dressy Shoes
117,Comfortable Flats
118,Edgy Outfit
119,Jewelry
120,Watches
121,Charms
122,Different Face Mask
123,Nursing bras
124,nursing bra
125,kids underwear
126,the are all clothes that can be bundled 
127,Bra with different styles
128,Baby boys T-Shirts
129,different model 
130,owls animal crochet knit 
131,"1,8  different model "
132,Women's shoes
133,different style of top
134,Sunglasses with different colors and style
135,Shoes and Socks
136,Travel
137,like a clothing
138,t shirts with different styles
139,Women's top
140,Men's T-Shirt
141,handbag
142,Watches
143,men's watch
144,women's accessories
145,different style of jeans
146,Womens footwear
147,Partywear/Eveningwear outfit bundle
148,Searching for child's Halloween costume
149,different style of dress
150,different style of skirt
151,Rainbow 
152,different style of warmers
153,kid clothes
154,Cosplay within a certain theme
155,Women's swimwear different  models
156,bucket hats
157,Shoes with different styles and designs
158,shoes
159,boot
160,Women's dress
161,attractive
162,good quality
163,ITEM 2 & 5 ARE RELEVANT
164,Bra styles
165,quality
166,Bra with different styles
167,Womens clothes
168,WOMENS WATCH
169,ITEM 5 AND 6 ALTERNATIVE PRODUCTS 
170,women jewelry with different style
171,Warm clothing accessories 
172,Baby pajamas size 6M-5T
173,leveret footed 
174,Different types of Earrings.
175,BOYS EAR PLUGS
176,Boys swimming attire
177,Women’s business attire
178,Surf Swim
179,"Rib Cuff"" Bike Shorts and Front Cargo Shorts"
180,Boys products
181,different style of briefs
182,"coat, jean and shoes"
183,Accessories
184,mens clothing
185,Men's Smooth Underwear Stretch Boxer Briefs
186,open crotch
187,leg avenue
188,shoe and socks
189,good quality
190,Bikini
191,Love Ring in Script Sterling Silver 925 and Fashion Plaza 18k White Gold Plated Use Austrian Multi-Crystal Spark Ring R51 and Bling Jewelry Sterling Silver Alexandrite Color CZ June Birthstone Eternity Ring
