bundle ID,item ID
0,237385
0,50494
0,52619
1,43086
1,185268
1,73281
2,34877
2,185268
2,233348
3,196011
3,82351
3,56426
4,158498
4,28100
5,237552
5,18599
6,236628
6,103500
6,104147
7,46914
7,95595
8,236629
8,94880
9,74823
9,108812
9,6719
9,149878
9,32508
9,229179
10,181884
10,76339
11,74845
11,236450
12,236450
12,74845
12,19991
12,236451
13,236451
13,74845
13,236450
14,126634
14,182281
14,86063
14,155062
14,71382
15,71382
15,155062
16,32272
16,139919
16,146856
16,150173
17,32272
17,139919
17,146856
17,237065
17,150173
17,237064
18,203037
18,206029
18,161552
19,44834
19,173714
19,175566
19,204906
20,204906
20,175566
20,161552
20,173714
20,206029
20,44834
20,203037
21,209889
21,39408
21,200592
21,42563
21,193324
21,23703
22,129133
22,104994
23,16051
23,222255
23,167195
24,16051
24,222255
25,236871
25,200573
26,200573
26,128111
26,236871
27,179737
27,3272
28,171361
28,81578
28,29826
28,52732
29,171361
29,29826
30,81578
30,144897
30,207438
31,81578
31,144897
31,175601
32,175601
32,29826
33,122499
33,236638
33,206816
33,190996
33,39834
33,61384
34,236638
34,190996
34,39834
35,122499
35,206816
36,61384
36,39834
36,172359
36,190996
36,206816
36,236638
36,122499
37,105480
37,200280
38,65364
38,52685
38,72562
38,98121
38,176492
38,141651
39,141651
39,176492
39,98121
39,52685
40,226235
40,108281
40,152535
41,39435
41,124818
42,118998
42,212173
43,168037
43,129779
43,27690
44,118998
44,212173
45,236927
45,236926
45,236924
46,236927
46,236926
46,236925
46,236924
47,237660
47,237659
47,214787
47,130623
47,86286
48,53008
48,129434
48,237658
49,100303
49,227994
50,225217
50,210987
51,107780
51,237281
51,97824
51,110171
51,117365
51,26433
51,45498
51,149996
51,64119
51,41793
52,41793
52,64119
52,149996
52,45498
52,97824
52,107780
53,117365
53,237281
54,26433
54,117365
55,218476
55,178779
55,119545
55,237040
55,9531
55,237041
55,236071
56,237041
56,237040
56,119545
56,178779
57,237041
57,237040
58,236989
58,26607
58,76012
58,55101
58,2561
59,26607
59,76012
60,60424
60,230757
60,116097
61,43116
61,796
61,190412
62,43116
62,796
63,11363
63,88820
63,134322
63,164931
64,88820
64,164931
65,36867
65,93847
66,237492
66,237491
67,237490
67,237489
68,125930
68,121329
68,89432
69,121329
69,89432
70,104935
70,65604
70,74174
70,116115
70,102085
71,155403
71,190797
72,42141
72,62601
73,42141
73,62601
73,5383
74,118361
74,45431
75,27544
75,230945
76,48400
76,198361
77,27544
77,64395
77,230945
78,173305
78,183073
78,234631
78,34719
78,118621
78,166491
78,87291
78,68343
78,33789
78,95030
79,33789
79,87291
79,118621
79,173305
80,136854
80,194779
80,151750
81,97986
81,149452
82,41272
82,149452
82,97986
83,236685
83,16514
84,236687
84,103204
85,16514
85,236685
85,173779
85,168220
85,103204
85,236686
85,197003
85,236687
86,188113
86,219119
87,56240
87,190929
87,186545
88,195438
88,26413
89,124288
89,26413
89,57659
89,195438
90,179527
90,5568
90,117778
90,31016
91,135207
91,150064
92,156592
92,31941
93,127107
93,111830
94,214850
94,157626
95,127107
95,111830
96,80527
96,175236
96,15094
97,118883
97,1078
97,233282
98,157834
98,149286
98,237377
98,121736
99,31235
99,125319
100,226849
100,52328
100,167353
101,178362
101,164574
101,236939
102,78400
102,208413
103,189693
103,67239
104,237025
104,237024
104,237023
104,49316
105,124824
105,77538
105,219592
106,165927
106,108856
107,23209
107,52250
107,179923
108,23209
108,52250
108,179923
109,156609
109,80243
109,235120
109,185049
109,171200
110,80243
110,235120
110,185049
111,41916
111,215520
111,5328
111,236747
111,4568
111,211749
111,236748
111,84640
111,236749
112,211749
112,4568
112,236747
112,5328
112,215520
112,41916
113,236498
113,236495
114,187331
114,237104
114,103735
114,104255
114,237102
115,215210
115,237103
116,237104
116,237102
117,84718
117,22240
117,115643
117,204128
117,236691
117,109708
117,2179
117,236692
118,236692
118,204128
118,115643
119,22240
119,84718
120,2179
120,236691
120,204128
121,225751
121,236834
122,63455
122,120803
123,236836
123,95884
124,139711
124,44504
124,236887
125,10062
125,47859
126,10062
126,47859
127,143150
127,89234
128,89234
128,143150
128,236679
128,47859
128,98902
128,125702
128,205907
128,10062
129,116112
129,100702
130,37693
130,11098
131,235978
131,223922
132,235978
132,223922
133,58713
133,100507
134,58713
134,48229
134,44627
134,139452
134,119900
134,100507
135,130095
135,201618
136,199183
136,150432
137,210283
137,96674
137,137094
138,3217
138,101618
139,40924
139,101618
139,137094
139,96674
139,144896
139,81015
139,3217
139,21797
139,210283
140,16839
140,235913
140,19208
140,166472
140,54252
140,236720
140,236721
140,121695
140,108080
141,121695
141,236721
141,54252
142,236720
142,166472
143,121695
143,54252
144,45573
144,54534
144,236742
144,199111
145,236741
145,236739
146,236741
146,236739
147,45573
147,54534
147,236742
147,199111
147,148463
147,236740
148,84946
148,103804
149,235017
149,13566
149,137958
150,200431
150,159568
150,237090
151,200431
151,227154
151,123415
151,95727
151,237090
152,7226
152,61912
152,114292
153,198888
153,139373
153,75103
154,203715
154,234171
154,135750
155,133067
155,145997
155,127785
155,194438
155,1736
155,232815
156,53654
156,237540
156,193630
156,237538
157,5081
157,9600
158,174487
158,126443
158,98181
158,140956
159,237595
159,55977
160,166349
160,126313
161,84617
161,168158
162,186832
162,77817
162,211148
