item ID,source ID
62,B001ELJNUW
123,B004KP73D8
174,B00EAEBBCI
234,B00GQZ0NC8
249,B007E5AINS
279,B00ATNNKXW
395,B00EA0L5N2
468,B00006XXGO
693,B003YJHBM4
694,B00FC471BU
782,B00EUE85JA
796,B008Z8MTAS
875,B0058D1P62
881,B0040Y4FBM
905,B00274QFEM
920,B0017LBZNW
952,B00DH06JSW
1039,B00B55LGKC
1078,B00DRYPTJ8
1156,B005CI62XY
1197,B00AEVBR0C
1231,B000EYFRC8
1336,B0047EXQF6
1344,B0045W5R0C
1396,B00ETID45W
1398,B002FQJNN2
1455,B002ZHYD8Q
1487,B000A794KU
1510,B000LFG4A4
1736,B001T6UGLC
1816,B0087ZR24M
1875,B00FRR8S5A
1896,B001DZLF28
1991,B00J2RJ8FK
2108,B009CCGEV6
2138,B000WB1FGK
2179,B004R82D5Q
2202,B00CG6FPQU
2227,B00EEZ6S7Q
2231,B001TDKWMI
2309,B001FSKA3S
2327,B009V5GO1E
2366,B005QT9PHE
2404,B00DNQIIE8
2448,B00556FEUA
2488,B00BLXLIA6
2515,B008B0LMNU
2561,B0064YY0DE
2570,B004KV2PN0
2596,B00I2Q6NE6
2741,B00AFHL78W
2864,B007WA397M
3091,B00H57CIMO
3144,B00IJKGYSK
3217,B005LV4LHG
3227,B0079MI3KQ
3272,B005O9YKZI
3316,B006XOP6O2
3356,B008J52T3E
3462,B0071P6MFO
3565,B00CL54BD4
3662,B00CIQDDX0
3699,B0084AVB7E
3719,B001T7MMZO
3867,B00A4MV1MA
4020,B00E1ALO0K
4022,B0071TAFJO
4263,B00283KYHQ
4364,B003WULJAU
4568,B004P88ID4
4663,B00C65U1Z6
4726,B007P1T9QI
4879,B008MBYRJ4
4923,B008HUZ3S4
4982,B00A13N0LM
5014,B009WS36RA
5039,B00710VNK8
5074,B00AHCK4AM
5081,B00BMQ4H3C
5189,B004MMEF5I
5271,B004DEBEM2
5328,B00BTZ93VW
5336,B00EO83W1I
5348,B00AG4RWTC
5352,B000P50WEO
5383,B0018P51PU
5475,B00B6ZY5NQ
5491,B00DMWQM28
5568,B00CDJOU3Y
5605,B002N3AWH8
5629,B00BPIG640
5748,B005B83DVE
5786,B00CL6HBEY
6128,B00CX9F2K4
6132,B00C06BTWA
6161,B0083J8XMM
6162,B001LNN1ZQ
6211,B00H2VRZEY
6225,B003JNF4B0
6233,B0079FP6J4
6268,B0007YR8WW
6290,B00EYZQJ7K
6296,B00FGPMV74
6320,B00BETMSC4
6413,B009IAIG6S
6563,B005DIN0XI
6719,B00945KG8S
6755,B00AWQYCSI
6764,B0078FXHNM
6797,B00BO2TOUA
7009,B003Z2YXFI
7066,B0043058UA
7069,B007GCBT5K
7145,B00FNN8NBW
7157,B004746VOY
7213,B000O6I8BS
7226,B0019LREZI
7235,B008LUK1DC
7310,B002498OSA
7538,B00C40QLAM
7552,B003IBOCNY
7843,B005DMW0X0
7933,B0080NICNG
8078,B000PYJFNY
8100,B0090B85ZM
8101,B002JCSSPG
8149,B008LUC7MU
8192,B008Q6GSOM
8213,B0091S553O
8266,B009EUI4G4
8351,B005HDYE9I
8486,B00B5T6SNS
8573,B0037WZ2YC
8606,B00BY9IXSW
8638,B00B0GAGDY
8711,B007WU92PU
8755,B000Y13JS0
8786,B0057FERVG
8839,B00C78DV9A
8858,B004K6KM8K
8863,B008AGSUYO
8908,B00J4IEVX6
8986,B00DIIWKFO
8995,B001HRLIQA
9138,B00CZ6UQQ0
9142,B00EAOSQ9Y
9252,B009N6D194
9302,B00GNND3KM
9321,B005DIF23E
9395,B005I0JP08
9423,B00A6YDNFY
9454,B005DTR72W
9518,B005CLMRLC
9531,B000A13NJO
9600,B00B4N0E1C
9677,B00CXW9EYQ
9697,B004DKR7SQ
9721,B008JA8LS6
9819,B00AAHBD6S
9838,B008FHFGUE
9909,B00BQN9B96
10062,B00AE1SAJ8
10081,B008WF4NZ8
10092,B00BGFFZH6
10200,B005OO0RL4
10254,B00AF1SXX0
10291,B00BJN6DOY
10373,B001KKMY58
10449,B00E1ZX05C
10510,B001SN4KQS
10743,B009L8X8WO
10824,B00FDH2A9O
10832,B00BPFL0DK
11093,B00CIX7J8S
11098,B00CE3I3Q4
11115,B000B14ERS
11219,B0097B0KBM
11316,B00BOLVK26
11363,B00F0HF89G
11409,B009BEO9DU
11636,B00ICY8PZS
11678,B008N8KEI4
11861,B000VWAFRA
11880,B003UZ0M2S
11959,B003L5CUAE
12138,B000GAWSHM
12240,B00AM481BO
12340,B00E3FND3O
12364,B00722XA9W
12536,B00A7D8F6G
12609,B00D76B2R4
12673,B00HW9UQ60
12866,B0050UF1CC
12869,B00519BD0G
12881,B007VQL9D8
12964,B00I19JZB2
13006,B00CV7VTTG
13211,B008X1JL4Y
13236,B009RZ7NWM
13252,B007PW9TG2
13266,B004UUL5CS
13318,B00A3Y50W6
13470,B0013UMQX0
13509,B003TMVN3Y
13566,B001MKOKGW
13575,B0035QJVXS
13580,B0097KAVXK
13626,B00C40YOA6
13785,B005J3T5XG
13817,B00CFE2KJS
13906,B00B2DJCIU
13942,B00AYPSJ4A
13963,B009DNWFD0
14069,B00CXCYU68
14112,B00284AVKU
14278,B0098KY950
14440,B00C7L2S0U
14528,B007WATABQ
14537,B004IPRWRC
14706,B0033UIOWK
14738,B00AX3EZPK
14759,B007WA2Q5I
14861,B001HEF6W0
14918,B00E4QONEK
14924,B00AKPPS2A
14927,B0030AI1H6
15004,B0061HLV5E
15023,B00BGONKDS
15027,B002M442LU
15050,B00HD6QTYA
15077,B00B9TT33Q
15094,B00B4O2CJI
15119,B0060D98UO
15261,B005BZQHEC
15381,B007VH69JG
15424,B00BICEE8S
15466,B00455IAEO
15629,B0070QLQ2S
15636,B003UHUPD2
15743,B003Y5I9M4
15833,B004LKVE0U
15900,B000HOOR58
16009,B00AO3M8OY
16025,B005O0EHOG
16051,B0074BT6L2
16055,B008FZO6XE
16071,B002KIJXW6
16123,B00AY6KUVE
16185,B00ER20BWO
16401,B0097YSWSW
16431,B00B1JBD4Q
16471,B00CJGELKI
16514,B00APLPT3W
16530,B00DICFQGA
16646,B0092BGH82
16699,B000I5UASY
16839,B00GQR2T3W
16937,B00I1076P8
16970,B00BU17HZO
17024,B00DJ2MBUS
17048,B000I7N8MM
17112,B000WZKMX8
17160,B0050UX3YU
17188,B008YB7AWI
17277,B00BRBZISK
17354,B006R3AD92
17456,B003WU0LHC
17543,B00ALZNAPQ
17583,B00B4M7HJU
17687,B000FKGTOG
17757,B00IABYXYK
17767,B005A09E6Q
17783,B00I87VVOG
17860,B00FXWANVQ
17905,B006JNXXE2
18076,B0044MV4O6
18084,B001TR0UZI
18122,B009MDMYJG
18137,B00D40CB8W
18200,B007GME2TK
18303,B00352946Q
18314,B00BPFB47M
18329,B00452NQT6
18437,B009P0IEUE
18468,B00331LLJ2
18599,B0081OYV1Q
18774,B0085XLLW0
18997,B002FU62Q4
19065,B009LEG3XO
19136,B00DNEGVG2
19208,B00EZM2D7C
19244,B001AZMZ2A
19248,B00657AGDI
19260,B006O19GYU
19324,B00J7HQACY
19347,B00E6QHTZS
19609,B00AM02UKQ
19717,B00AQ8T4Y4
19751,B00HYMMV8Q
19851,B001LS7TX6
19912,B003ILHLHS
19991,B003FA8BC6
20087,B00GHS2IMC
20107,B00GMNXQ2I
20168,B001CE11W4
20173,B001L2MVF8
