bundle ID,item ID
0,111245
0,133970
0,53071
1,53005
1,125741
1,41876
1,167070
2,56206
2,109020
2,121146
3,27539
3,106038
3,87032
4,87032
4,121146
4,50771
4,175217
4,5534
4,109020
4,56206
4,106038
4,27539
5,178458
5,123106
5,74370
6,41457
6,74370
6,109148
6,123106
6,178458
7,110708
7,178544
7,134276
7,178543
7,117733
7,159210
7,30035
8,178544
8,134276
8,117733
8,178542
9,22366
9,155610
9,6984
9,1212
9,64459
10,22366
10,1212
10,64459
11,77803
11,146044
11,125911
11,150298
12,147716
12,103023
13,118193
13,56668
14,157021
14,2367
15,137153
15,101754
15,93792
15,17785
15,45198
16,17785
16,93792
16,101754
17,78077
17,118887
18,175728
18,62085
18,75917
19,680
19,93719
20,175728
20,93719
21,86770
21,123449
22,25247
22,84287
23,76385
23,39462
24,76385
24,177733
25,123498
25,1955
26,96866
26,122266
27,96866
27,155756
27,66663
27,86456
28,122266
28,152543
29,96866
29,122266
30,14661
30,119293
31,45793
31,36589
31,30164
31,151196
31,79147
31,121176
32,121176
32,79147
33,74168
33,148982
34,97822
34,141008
34,89850
35,8539
35,91020
35,162381
35,38041
35,168632
36,162381
36,91020
36,8539
37,46109
37,132951
37,78943
37,160690
37,178596
37,129688
38,129688
38,160690
38,78943
38,132951
38,46109
39,56312
39,63257
40,142607
40,141299
41,77683
41,178565
41,170978
41,126383
42,126383
42,178565
43,175140
43,104512
44,178708
44,58953
44,95602
44,43689
45,15483
45,110359
46,53005
46,45793
46,21728
46,38786
46,58404
46,73937
46,92394
46,20413
47,38786
47,45793
48,133970
48,84657
49,110848
49,115746
50,6451
50,64753
50,135148
51,80196
51,130231
52,74778
52,130231
53,118325
53,165539
53,103820
53,55113
53,54989
53,1653
54,55113
54,54989
54,1653
55,145247
55,123205
55,18806
55,99189
56,99189
56,123205
56,145247
57,111145
57,20027
57,156509
58,178594
58,15827
59,6652
59,8855
60,163150
60,37550
61,177270
61,83081
61,134612
61,83546
61,108845
62,136257
62,87711
62,83197
62,118325
62,84728
63,136257
63,83197
63,118325
64,8294
64,13485
65,44879
65,23607
66,57692
66,171969
66,57957
66,15912
66,154296
66,101688
67,154296
67,15912
67,57957
68,31637
68,67083
68,161663
68,111116
68,162850
68,2712
68,84898
68,163013
68,75427
69,127864
69,107890
69,169267
70,68595
70,125046
70,45691
70,141170
70,22605
70,66458
70,110615
71,118776
71,29176
71,44273
71,178546
71,128656
71,63439
71,79138
71,1499
71,73808
72,44273
72,128656
72,110481
72,79138
72,73808
73,118776
73,44273
73,128656
73,73808
74,118776
74,29176
74,178546
74,63439
74,79138
74,1499
75,110481
75,79138
75,1499
76,178546
76,73808
77,93831
77,170354
78,152615
78,37671
78,178515
79,178515
79,100813
79,88643
79,37671
79,152615
79,109493
79,138879
79,83830
79,138842
79,81123
80,78408
80,26775
80,26796
80,78932
80,174634
81,174634
81,78932
81,26796
81,26775
81,78408
81,160512
81,168589
82,38693
82,142066
82,13109
83,103973
83,44824
83,14077
84,128225
84,142066
84,13109
85,103973
85,14077
86,33073
86,79921
86,110646
86,61417
86,59222
86,3620
86,150336
87,3620
87,61417
88,110646
88,79921
89,150336
89,3620
89,59222
89,61417
89,33073
90,159317
90,49178
90,94690
90,25552
91,159317
91,133
91,108845
91,6190
91,49178
91,94690
91,11651
91,25552
92,83134
92,62045
92,57957
92,105787
92,67365
93,123742
93,57957
93,5354
94,83134
94,62045
94,105787
94,73700
94,67365
95,23333
95,103820
95,174405
96,178650
96,75587
96,158027
96,141170
96,112529
96,9488
97,34294
97,57957
98,177058
98,132967
98,127312
98,140589
98,178481
98,160809
98,29479
99,141170
99,59334
100,85318
100,145329
100,125752
100,59334
100,11158
101,44239
101,63439
102,63439
102,40699
102,52749
102,44239
102,112797
103,112797
103,52749
104,1450
104,178586
104,106061
104,19859
105,100109
105,173676
106,161029
106,83371
107,156826
107,9585
108,18758
108,68485
109,102412
109,58670
110,20672
110,58670
110,102412
110,121119
110,171362
110,118432
111,6548
111,91320
112,6548
112,16748
113,24870
113,22605
114,498
114,178701
114,120111
115,102915
115,8548
116,36953
116,96740
117,96740
117,36953
117,94895
118,76057
118,153305
118,20528
118,94688
118,60918
118,113636
118,169355
118,28007
118,48427
119,48427
119,28007
119,113636
119,153305
119,76057
120,114725
120,95853
121,169762
121,158104
121,870
122,73203
122,9018
122,47125
123,9018
123,73203
124,3476
124,37871
124,75994
124,14727
124,69101
124,140272
125,3476
125,37871
125,75994
125,14727
125,69101
125,140272
125,8394
126,142223
126,144411
126,23020
127,110848
127,139241
127,178375
128,110615
128,120111
128,81600
129,81600
129,147813
129,120111
129,110615
130,120111
130,147813
131,37994
131,33483
132,33483
132,51646
132,37994
133,72436
133,66271
134,50997
134,112067
134,66258
134,77642
134,177533
134,89169
134,144935
135,144935
135,177533
135,66258
135,50997
136,89597
136,70065
136,77580
137,14169
137,77580
137,160620
137,70065
137,89597
137,74986
137,165211
138,164020
138,74861
138,146080
138,59327
138,165220
138,58378
138,142643
139,164020
139,74861
139,146080
139,165220
139,58378
139,142643
140,178573
140,5072
140,58278
140,149226
140,63973
141,137208
141,84363
141,178476
141,41045
141,13059
141,46699
142,46699
142,41045
142,84363
143,66102
143,135377
143,27411
143,21706
143,134390
144,84973
144,115020
144,99222
144,34561
144,68076
145,104048
145,108845
145,68076
145,34561
145,99222
145,73700
145,115020
145,84973
145,45870
146,45870
146,73700
147,86947
147,61648
148,138960
148,178480
148,40752
148,29279
148,69043
148,98148
148,139334
149,68050
149,91396
149,157672
149,30894
149,24870
149,21770
150,126585
150,91745
150,123667
150,103973
150,32441
150,127686
150,127950
151,135214
151,135989
151,63812
151,46724
151,639
151,78630
151,84002
152,118491
152,178671
153,57939
153,75873
154,69979
154,79138
154,78737
154,156826
155,79138
155,156826
156,3342
156,164168
156,66271
156,116180
156,173351
156,4500
157,51646
157,169065
158,169065
158,4500
158,173351
158,51646
158,116180
158,66271
158,164168
158,3342
159,71653
159,25546
160,76129
160,51035
160,18184
161,25546
161,51035
161,18184
162,51035
162,18184
163,59877
163,45608
163,153453
163,28004
164,28004
164,153453
164,59877
165,28004
165,153453
166,20027
166,116138
167,170275
167,137528
168,70601
168,112693
169,5742
169,45284
169,57773
170,166301
170,47125
170,323
170,22605
171,49243
171,49997
172,128447
172,18043
172,74627
173,67797
173,146080
173,158864
174,6706
174,173015
174,7360
175,110885
175,28263
176,165436
176,74324
176,165394
177,165436
177,135214
177,74324
177,165394
177,149551
178,172482
178,105742
179,21081
179,164254
179,146336
179,97146
180,153719
180,97146
181,72122
181,152641
182,152641
182,72122
182,76016
182,142223
183,142223
183,72122
183,152641
184,62555
184,95173
184,96882
184,57616
184,29169
184,23883
184,38434
185,172159
185,98242
186,98242
186,82118
187,178504
187,178503
188,178504
188,13417
188,149238
188,178503
189,163937
189,86030
190,82818
190,139070
191,85591
191,118032
191,86030
191,139070
191,164038
191,163937
191,82818
191,174770
192,152998
192,62578
193,151153
193,133278
194,160688
194,133278
194,151153
194,117496
194,59245
195,59245
195,160688
196,71562
196,102682
197,91863
197,71562
197,102682
198,102682
198,71562
198,93108
198,145257
198,53071
198,91863
199,119844
199,45554
199,38799
200,24255
200,109272
201,24255
201,139506
202,109272
202,139506
202,24255
203,41137
203,112693
203,132700
204,132700
204,112693
204,41137
204,74051
205,90672
205,49356
206,173781
206,49356
206,78674
206,170220
207,24870
207,74279
207,132102
207,89169
207,19739
207,43374
207,51646
207,172159
208,172159
208,51646
208,43374
208,19739
208,132102
208,74279
208,24870
209,65466
209,111833
210,111833
210,53777
210,65466
211,8646
211,93140
211,56482
211,810
212,63337
212,167648
212,111311
212,113105
212,174594
212,127901
213,19558
213,91135
213,52420
213,93992
213,98074
213,178522
213,90790
213,178523
213,155626
214,155626
214,178523
214,98074
214,93992
214,91135
214,19558
215,90790
215,178522
215,52420
216,164936
216,16616
217,97439
217,59635
218,91745
218,38434
218,133042
218,4039
218,158864
218,142643
218,87046
218,78630
219,97938
219,63439
219,106779
220,147790
220,51745
220,39747
220,166240
221,147790
221,51745
221,39747
222,141189
222,55953
222,97146
223,141189
223,97146
224,97146
224,55953
224,141189
224,43595
225,156519
225,8641
226,121302
226,8641
227,121302
227,103203
227,176292
228,80890
228,37464
229,45493
229,148081
230,7994
230,45493
230,148081
230,121302
230,103203
230,176292
231,65648
231,71979
232,160451
232,164815
232,19952
232,80258
232,1763
232,66518
232,17135
232,49870
232,91320
233,80258
233,160451
234,24682
234,13794
235,13794
235,53777
235,27893
235,11101
235,97087
235,111547
235,24682
235,112787
235,7763
236,27893
236,53777
237,154358
237,140049
238,99927
238,43744
238,7798
238,178621
239,79264
239,34702
240,139947
240,1763
240,122703
240,79264
240,34702
241,34702
241,79264
241,22605
241,122703
241,150474
241,61915
241,1763
241,139947
242,134002
242,98455
242,86703
243,155000
243,36326
243,44328
243,76883
243,173536
243,98074
243,13510
243,160253
243,125020
243,142643
244,104815
244,144101
245,1955
245,16869
246,144101
246,104815
246,16869
246,1955
247,70406
247,152548
248,11162
248,152548
249,141170
249,498
250,141170
250,498
250,111530
251,111530
251,498
251,178449
251,141170
252,37566
252,43759
253,58781
253,96078
254,178492
254,57094
254,37566
255,38574
255,88607
256,141170
256,9151
257,100935
257,29490
257,152011
257,49591
258,100935
258,29490
258,152011
259,103037
259,102185
260,76671
260,4087
260,10130
261,4087
261,103037
261,102185
262,169688
262,18396
263,23365
263,102005
263,38799
263,162850
264,78573
264,101545
264,129770
264,38178
264,88264
265,91196
265,26923
266,50382
266,134431
266,17135
267,142529
267,100935
267,126
267,169639
267,112693
267,123391
267,12365
267,45284
268,32193
268,134470
269,83774
269,134470
270,49106
270,128817
270,107999
270,50678
270,54837
271,50678
271,107999
272,150823
272,169831
273,98455
273,156034
273,102401
273,150750
273,135214
273,14342
273,178549
273,152430
273,135380
273,7029
274,14342
274,156034
274,98455
275,178443
275,143791
276,98150
276,57773
276,24870
277,24870
277,57773
277,98150
277,29043
277,75873
277,584
277,176017
277,35730
278,97137
278,29415
279,91561
279,19952
280,164123
280,142664
281,27337
281,170447
282,121377
282,47452
282,67688
282,67771
283,76244
283,54649
283,16132
283,78737
284,1701
284,166753
284,8031
285,8031
285,166753
285,1701
285,125758
285,73801
285,170057
285,57183
285,109949
285,173323
286,123879
286,78564
287,123879
287,164051
287,78564
287,76899
288,76899
