item ID,categories
10675,"[[Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves]]"
3500,"[[Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves,Cases]]"
57600,"[[Electronics,Computers & Accessories,Data Storage,Internal Hard Drives]]"
84020,"[[Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Docking Stations]]"
43618,"[[Electronics,Television & Video,Streaming Media Players]]"
176239,"[[Electronics,Television & Video,Televisions,LED TVs]]"
121462,"[[Electronics,Camera & Photo,Bags & Cases,Camera Cases]]"
168527,"[[Electronics,Security & Surveillance,Accessories,Surveillance Camera Cables]]"
9656,"[[Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves,Cases]]"
5980,"[[Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves,Cases]]"
99650,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones]]"
151947,"[[Electronics,Portable Audio & Video,MP3 Players & Accessories,MP3 Player Accessories,Speaker Systems]]"
7682,"[[Electronics,Computers & Accessories,Touch Screen Tablet Accessories,Cases & Sleeves,Cases]]"
99222,"[[Electronics,Computers & Accessories,Laptops]]"
164936,"[[Electronics,GPS & Navigation,GPS System Accessories,Vehicle Mounts]]"
16616,"[[Electronics,GPS & Navigation,GPS System Accessories,Traffic Message Channel (TMC) Receiver Modules]]"
111434,"[[Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Screen Protectors]]"
1167,"[[Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Replacement Screens]]"
147725,"[[Electronics,Camera & Photo,Lighting & Studio,Photo Studio,Background Support Equipment]]"
139385,"[[Electronics,Camera & Photo,Accessories,Blank Video Media,MiniDV]]"
62385,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,TV Accessories & Parts,TV Ceiling & Wall Mounts]]"
128258,"[[Electronics,Television & Video,Televisions,LED TVs]]"
35870,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones]]"
127414,"[[Electronics,Computers & Accessories,Cables & Accessories,Mice]]"
163006,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,Headphones]]"
74847,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,Headphone Accessories,Earpads]]"
176201,"[[Electronics,Television & Video,Streaming Media Players]]"
108845,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,Cables & Interconnects,Video Cables,HDMI Cables]]"
133156,"[[Electronics,Television & Video,Televisions,LED TVs]]"
33130,"[[Electronics,Accessories & Supplies,Audio & Video Accessories,TV Accessories & Parts,TV Ceiling & Wall Mounts]]"
15866,"[[Electronics,Computers & Accessories,External Components,External Sound Cards]]"
