session ID,item ID
232,10675
232,3500
498,57600
498,84020
632,43618
632,176239
827,121462
827,168527
320,9656
320,5980
452,99650
452,151947
396,7682
396,99222
115,164936
115,16616
219,111434
219,1167
887,147725
887,139385
223,62385
223,128258
870,35870
870,127414
618,163006
618,74847
198,176201
198,108845
210,133156
210,33130
397,15866
397,177233
147,97137
147,29415
116,97439
116,59635
380,152670
380,128837
145,178443
145,143791
445,29331
445,125267
777,168752
777,60225
86,20027
86,116138
296,55738
296,114880
259,170462
259,32710
252,147771
252,11527
574,29731
574,40014
442,45354
442,178444
442,178445
817,129411
817,77233
817,68671
143,169831
143,148353
143,150823
363,17135
363,78474
363,76155
524,40273
524,13280
524,39135
169,135214
169,166661
169,94382
274,138927
274,39753
274,110848
203,150110
203,57905
203,63531
559,164615
559,177492
559,24351
539,82148
539,14438
539,136381
411,175157
411,69949
411,139324
44,23333
44,103820
44,174405
247,92611
247,52729
247,123519
107,109272
107,139506
107,24255
656,71165
656,78064
656,36842
599,170289
599,102426
599,13394
67,156811
67,66271
67,72436
327,31241
327,81110
327,60549
61,73203
61,9018
61,47125
861,80349
861,27068
861,110848
496,46353
496,93719
496,108661
565,86731
565,89859
565,127177
66,33483
66,51646
66,37994
375,36331
375,151059
375,43060
63,142223
63,144411
63,23020
23,6451
23,64753
23,135148
867,89223
867,129888
867,125500
682,14200
682,60943
682,174924
355,92177
355,26587
355,26105
596,79972
596,47727
596,132967
732,74933
732,5263
732,9452
103,62578
103,152998
103,170549
34,127864
34,107890
34,169267
187,80961
187,178152
187,150431
536,60086
536,69111
536,121728
433,159018
433,51999
433,75379
428,132019
428,141473
428,97475
310,62394
310,110017
310,40699
383,18422
383,178446
383,168448
244,101438
244,54304
244,161854
579,14042
579,87004
579,83243
575,1763
575,152050
575,173697
575,61932
800,74370
800,169905
800,115539
800,28022
391,108845
391,56648
391,64900
391,174198
215,178447
215,104176
215,131558
215,78064
370,84661
370,175120
370,97938
370,72562
65,81600
65,147813
65,120111
65,110615
884,16869
884,21006
884,96727
884,77580
546,139947
546,170038
546,50632
546,178448
835,155678
835,139070
835,121606
835,118455
108,132700
108,112693
108,41137
108,74051
26,145247
26,123205
26,18806
26,99189
120,97146
120,55953
120,141189
120,43595
208,36698
208,59060
208,110125
208,103682
803,172211
803,79757
803,93568
803,106207
129,144101
129,104815
129,16869
129,1955
195,147441
195,104289
195,63531
195,39994
746,47685
746,105892
746,85836
746,119708
131,111530
131,498
131,178449
131,141170
749,62602
749,68228
749,104048
749,175933
175,31999
175,49997
175,123635
175,98326
273,76676
273,167964
273,102412
273,38457
158,159772
158,70994
158,118193
158,103023
226,132716
226,154127
226,14770
226,22605
508,176041
508,111508
508,153386
508,100033
701,178450
701,37596
701,158607
701,98074
589,162056
589,32565
589,130760
589,35970
64,178375
64,155100
64,139241
64,110848
530,73960
530,58125
530,67535
530,178451
405,113452
405,20745
405,158864
405,25683
89,57773
89,62118
89,45284
89,5742
419,12350
419,25356
419,90882
419,163648
85,59877
85,45608
85,153453
85,28004
154,141170
154,33928
154,66458
154,73410
302,24682
302,108845
302,86548
302,127950
295,169367
295,47870
295,62209
295,59990
842,140709
842,108753
842,174408
842,98635
695,109846
695,136452
695,74983
695,61176
261,57905
261,94700
261,92340
261,8548
878,90270
878,12365
878,63976
878,177178
699,124917
699,93383
699,145532
699,49723
568,63812
568,24565
568,140084
568,75439
56,178452
56,8548
56,71424
56,102915
635,149211
635,103285
635,78446
635,100071
337,147199
337,178453
337,98876
337,48503
696,94700
696,143421
