item ID,categories
35263,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
17513,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
36865,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
9856,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Iced Tea]]"
4780,"[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Macaroni & Cheese]]"
54323,[[]]
35726,"[[Grocery & Gourmet Food,Cooking & Baking,Extracts & Flavoring]]"
45310,"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking]]"
15371,"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Nuts & Seeds,Mixed Nuts]]"
3427,"[[Grocery & Gourmet Food,Snack Foods,Meat Snacks,Jerky]]"
7003,"[[Grocery & Gourmet Food,Pasta & Noodles,Noodles,Shirataki]]"
664,"[[Grocery & Gourmet Food,Pantry Staples,Pasta & Noodles,Noodles,Shirataki]]"
49436,"[[Grocery & Gourmet Food,Breakfast Foods,Cereals,Muesli]]"
12694,"[[Grocery & Gourmet Food,Breakfast Foods,Cereals,Cold Cereals]]"
7855,"[[Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Corn]]"
1446,"[[Grocery & Gourmet Food,Snack Foods,Chips & Crisps,Corn]]"
54324,"[[Grocery & Gourmet Food,Candy & Chocolate,Candy & Chocolate Assortments]]"
17201,"[[Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds,Peanuts]]"
15176,"[[Grocery & Gourmet Food,Candy & Chocolate,Jelly Beans & Gummy Candy,Taffy]]"
3750,"[[Grocery & Gourmet Food,Candy & Chocolate,Jelly Beans & Gummy Candy,Taffy]]"
8186,[[]]
7806,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Roasted Coffee Beans]]"
9397,[[]]
11921,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
5020,"[[Grocery & Gourmet Food,Dairy, Cheese & Eggs,Non-Dairy Milks,Soy Milk]]"
53162,"[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Coconut Water]]"
2009,"[[Grocery & Gourmet Food,Candy & Chocolate,Candied & Chocolate-Covered Snacks,Nut Clusters]]"
5120,"[[Grocery & Gourmet Food,Candy & Chocolate,Candied & Chocolate-Covered Snacks,Nut Clusters]]"
7439,"[[Grocery & Gourmet Food,Snack Foods,Cookies,Chocolate Chip]]"
14737,"[[Grocery & Gourmet Food,Breads & Bakery,Cakes]]"
32737,"[[Grocery & Gourmet Food,Snack Foods,Puffed Snacks]]"
51355,"[[Grocery & Gourmet Food,Snack Foods,Popcorn,Microwave]]"
45823,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
14530,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
46408,"[[Grocery & Gourmet Food,Beverages,Bottled Beverages, Water & Drink Mixes,Coconut Water]]"
38979,"[[Grocery & Gourmet Food,Jams, Jellies & Sweet Spreads,Marmalades]]"
44437,"[[Grocery & Gourmet Food,Pantry Staples,Jams, Jellies & Sweet Spreads,Marmalades]]"
31521,"[[Grocery & Gourmet Food,Pantry Staples,Cooking & Baking,Coconut Flakes]]"
38579,"[[Grocery & Gourmet Food,Cooking & Baking,Syrups, Sugars & Sweeteners,Sugars]]"
36511,"[[Grocery & Gourmet Food,Cooking & Baking,Nuts & Seeds,Chia Seeds]]"
35606,"[[Small Appliance Parts & Accessories,Coffee & Espresso Machine Parts & Accessories,Coffee Machine Accessories,Coffee Filters,Disposable Filters]]"
54325,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Tea,Green]]"
7860,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee Substitutes]]"
15266,"[[Grocery & Gourmet Food,Beverages,Coffee, Tea & Cocoa,Coffee,Single-Serve Capsules & Pods]]"
50676,"[[Grocery & Gourmet Food,Pantry Staples,Canned, Jarred & Packaged Foods,Vegetables,Corn]]"
14843,[[]]
31528,"[[Grocery & Gourmet Food,Soups, Stocks & Broths,Vegetable Soups]]"
20021,"[[Grocery & Gourmet Food,Soups, Stocks & Broths,Vegetable Soups]]"
44804,"[[Health & Household,Vitamins & Dietary Supplements,Blended Vitamin & Mineral Supplements]]"
12599,"[[Grocery & Gourmet Food,Canned, Jarred & Packaged Foods,Packaged Meals & Side Dishes,Pasta & Noodle Dishes]]"
