item ID,source ID
7,B004SK419E
9,B000CQBZQA
22,B002U8ABDQ
57,B001EQ4AKU
61,B001CTO0YA
72,B000NMI6VA
76,B003KK099E
83,B00A2A7LBE
129,B004L54ST4
164,B0016BPX0E
189,B0057FSQDQ
221,B003U4SDHK
275,B0029JXM6O
296,B000QFOXTS
304,B000EMD23Q
306,B004K04L1K
310,B001EO6654
317,B006BXUGHW
320,B004UJ6C4U
326,B001SB1QNK
336,B00HQUJOGI
347,B00CIX6P1U
375,B001GQ3E5A
385,B0039KEQUI
398,B0077SH5JM
432,B0047YN854
446,B003SBXJDS
448,B004T2RE3G
539,B00BJ6EVK4
565,B000FDKQK6
573,B00B4IGS3A
577,B000EMM9X0
637,B002UUJ590
642,B004538TME
653,B00A414YCK
656,B00C91ZR8S
664,B00BP36RTY
675,B009M516HU
679,B009A8EXFG
682,B000DZB4HK
690,B000ILMQF8
695,B000G176EG
700,B007B9NC0I
746,B00338BVF4
749,B004BKRLT8
759,B000LKZA36
800,B004NRHBBM
804,B001IZJVJM
833,B00G6663G2
864,B007HQFSMU
946,B00A66S7FS
967,B0007PB6SS
979,B009M4M6NE
989,B0029J6QLM
993,B000V17MLS
999,B007F1MMR6
1000,B001EO7IOC
1026,B008CG3BW8
1038,B001PQREOI
1058,B000P09RJ0
1075,B00G4OWAPY
1077,B00AZCNZGE
1088,B001I7RINQ
1127,B004WN7DNS
1150,B000V9CLG6
1152,B001ENKEDA
1178,B001K36UR8
1195,B004BCV4HQ
1201,B00579ISP8
1240,B000Q6XR0S
1247,B0078DU1CY
1254,B000H26J7E
1270,B002CBXTS0
1286,B001V78QZW
1359,B000JL4L7S
1397,B00BZZDEPM
1399,B0044R19V4
1403,B0001I1HFS
1414,B0012BS9F4
1446,B003V8QGAG
1447,B002ATEZOG
1457,B0051NHI6U
1464,B00AEJ3IJW
1480,B005BI0UQK
1523,B000H1558E
1533,B003Z4F56C
1556,B0047TLRP2
1560,B0001KH4AI
1570,B004VLVCGU
1578,B00FDET0P4
1583,B004ZWR6VU
1632,B000V992WC
1634,B000FAKY1A
1684,B0005ZYN62
1717,B00J0KPBEG
1742,B0009F5B4G
1748,B006OI6FMO
1757,B001FA1E5Y
1781,B0032GREV2
1799,B001EO5ZBU
1814,B005XAYXRS
1879,B00473M8PQ
1887,B000FYXBE8
1907,B004KUV136
1931,B000WS1KHM
1946,B00B9IPKEI
1957,B004XHWRIE
1969,B003M4U1YG
2009,B002OTY2EK
2014,B000ITWX2G
2015,B001EO5ROA
2046,B000F6SNPS
2049,B000LSIUOE
2054,B007P4BX1Y
2152,B0006O4OIO
2154,B001VNGMGG
2160,B0068ZWRUC
2170,B00CWFDEEA
2183,B005MHRB7G
2190,B004NCGFIC
2202,B003Y19D82
2208,B003Q4U0B6
2220,B008VQ1RE8
2230,B000F7PW9M
2239,B004R8FKO2
2268,B008GZ1A7I
2302,B000SATIE6
2308,B0039ZEDZG
2336,B0096RP84Q
2339,B003IMSFI6
2360,B002WWBT4K
2376,B001D4VK10
2392,B001NG72UQ
2402,B002GWHATY
2413,B000FDN6QC
2427,B002E7MA1O
2434,B000NMJWZO
2451,B000FYVKVY
2464,B0065JA1IQ
2512,B00BOTZTDO
2534,B000RL2W0I
2538,B005FC6T08
2545,B00315VOD8
2560,B0031JK95S
2567,B000YFOSLS
2615,B005Q8BL72
2638,B00C6OI6LS
2657,B00C4YOJ2K
2692,B0039QXWPM
2731,B00BPETQXM
2753,B0017U24LA
2760,B003CB0VAI
2763,B001RMB4WI
2802,B000WS3AMU
2808,B0001M12JA
2831,B0000DHYNJ
2843,B002DVNM7W
2850,B00B5BICZS
2859,B003N0ZEJG
2862,B00DTRJ2HS
2876,B001KPRGQA
2905,B007FFNZK0
2906,B004VLV922
2928,B000EZOP0W
2954,B002RBOB9G
2959,B0070AJMFC
2961,B000F3Q6W8
2964,B00IBDO0IQ
2965,B001FA1LW0
2977,B000KELHTO
2982,B002I0T7TK
3006,B003TXBJCS
3016,B0084786RK
3027,B00375LB2G
3061,B008I1WVAU
3069,B00BAYQ658
3124,B00B8CYNN4
3126,B002NGY2TE
3148,B007HQOVBO
3152,B00DBSG3K4
3186,B009RMBTHU
3192,B000FDDESM
3228,B000PGSL64
3241,B0001M12MW
3254,B003KYIX0C
3270,B009AH7OU8
3285,B0032RPLSY
3306,B001ELL364
3340,B009M516HA
3354,B000WYF2UC
3379,B004YGQP5K
3388,B00EGEJQO2
3400,B000EDGB2E
3421,9742356831
3427,B0050Z3PRU
3488,B000LKZI60
3498,B00HDLZ072
3501,B0083CRDUC
3522,B00A66TZKY
3532,B004J0IDU6
3542,B004AXZEW2
3645,B0083V6UKC
3674,B000LKTW3K
3685,B00B5I1ZO6
3699,B00AWEDP2O
3750,B00609QU5O
3763,B008OUJGV2
3827,B00ATJUHI2
3836,B005T4F98K
3841,B000OQXXOA
3843,B00142C0JM
3880,B001D4CJJ2
3895,B0044V2LZ8
3917,B00C7MGHVA
3936,B00B9HHHLI
3965,B000RHSVN4
3973,B00032FS0C
4001,B003DIIMLK
4009,B000FFIEMQ
4018,B002MGM64I
4027,B00A1SDH6K
4033,B000OLTIAI
4043,B001P734XC
4050,B001U91OS2
4057,B00B9AAI9S
4091,B000EVG8H4
4102,B000F4OLJ2
4140,B001PEWJWC
4149,B004IX03MK
4172,B000HNF8ZW
4180,B000M9LROC
4205,B002YM5WIW
4209,B00B7QQOA6
4236,B0099XI58S
4240,B001D0676C
4287,B004VDH4L0
4293,B00A8PN3CY
4368,B005EKI68Y
4371,B006S4Y5B2
4383,B0018S2178
4400,B004GU3YXU
4404,B005YYFHCS
4422,B001LFABO8
4427,B003JI3B4W
4434,B006N3I4P6
4438,B001CUGD9Y
4479,B007C7VQ5M
4515,B000PL20KM
4516,B000I68S9Q
4518,B0004MVRH4
4529,B008KHWSKA
4536,B006Y7WGC8
4570,B0009PAVQY
4574,B0039LVLS2
4585,B004I5IC5I
4593,B00E1Z40DI
4622,B00EVQ66EI
4628,B005I0JJ6I
4633,B000HGC96K
4649,B000HDI5O8
4659,B001LO1A0S
4685,B005KSILB2
4700,B000LKTW5S
4711,B005LRBGEQ
4727,B005RF029M
4745,B003E6COMO
4766,B00AR6Q5JC
4780,B000E1DSPE
4808,B0009F3S7I
4820,B006J23YQ0
4822,B0046LLEBS
4839,B009ZJHQVS
4851,B0035LYCPU
4852,B007C7NHVS
4860,B0039QQXDU
4861,B004N5KUV2
4881,B001EQ5HRU
4882,B00DVKYQ2Y
4923,B00520I9GA
4944,B0075ANCIK
4945,B002R81L92
4948,B004H4SEN0
4958,B002YR7A9Q
5020,B004HK46BS
5026,B00239K3LW
5032,B001E5E2RC
5050,B000TTDDWE
5071,B006HT4W4S
5076,B001PQOAN6
5085,B001NIQVLU
5090,B004JNZL1W
5118,B0000DIWWD
5120,B002OTU7GW
5154,B0012OPDTG
5171,B00BV6R3PM
5206,B006Y7WLB4
5210,B0093K4YJQ
5223,B003832GRQ
5239,B00FT6LRH0
5252,B004TPWSAW
5266,B001M1950M
5281,B000E1BLOO
5285,B00511MJO8
5288,B001SAU13C
5322,B006OPV108
5330,B001IZM8WY
5368,B000N4G78C
5370,B00A64MVMU
5372,B00BWYQONA
5410,B003SBRO84
5412,B000LRIITM
5430,B005AHYMMA
5477,B0079EIIZ4
5484,B002U4OV6I
5487,B009OI09KK
5495,B0039QS496
5499,B0070XYM1I
5562,B006YH3VEA
5568,B003CAYRU4
5570,B009RS1ILG
5588,B001942GAI
5593,B0049YMBKA
5604,B009PARMMA
5644,B0019GVYR2
5658,B009PQR6OS
5674,B00EHZVEK4
5701,B001YXVSN0
5718,B0001W2W58
5729,B000EONEU0
5753,B001DCBT7C
5761,B000FBO9H4
5806,B00BBZ8YH4
5827,B0025UNP3W
5828,B00269VK20
5842,B00979EAL0
5850,B0018QLG9Y
5858,B000F8J2HO
5883,B0046H3GNG
5889,B001LQO1MU
5896,B00ETK4VB6
5901,B0078DQ7PE
5908,B001SB1F1I
5942,B008YPDEGA
5975,B00421DMLM
5997,B004VLVBSY
5998,B004IY1MGU
6015,B0079QE4LE
6017,B001EDAHZK
6057,B000LO40AG
6067,B003VM4STI
6068,B0001W2W2Q
6079,B000EICISA
6081,B001LO501S
6090,B001PB2ZP6
6093,B001EO66OA
6117,B000P0VRW0
6145,B006J23YYW
6150,B001PAS5GK
6157,B0076MB68U
6158,B000FA7Q2A
6184,B003YXAQN6
6202,B005FPDEHQ
6212,B00C3JBFZU
6258,B00449NWZS
6265,B00AZ8FLNS
6266,B00495RQNG
6319,B001F35WU4
6323,B004KPZOIE
6348,B0036FEB4W
6414,B000V79VSY
6423,B00497XVW4
6424,B0000ESTGX
6441,B005C3IVN8
6443,B000BEZVW2
6458,B003USZF2C
6460,B004P7QDR8
6476,B000MDCDOG
6477,B001VE26I8
6483,B004TPUSPE
6491,B004VLV3QE
6508,B004URPYHS
6548,B001TNXSZG
6597,B008AZ08D6
6604,B000G1EO6E
6623,B004ZIF15W
6635,B000JMFCRU
6644,B00BPNRIR4
6667,B00451SGZ6
6697,B005K4Q1T0
6706,B0009EIOPK
6720,B006JW5166
6730,B00B8YZ2LE
6744,B00GQGGNRQ
6752,B003A9Q8IQ
6771,B003TOES7K
6790,B006GL6N9E
6804,B001872UCA
6810,B0014M1VR4
6825,B000EM6Q3O
6827,B001U337VU
6828,B0010OE8FI
6837,B00794CGRK
6839,B002HQC31Y
6866,B0001YR058
6875,B001IZIC7E
6877,B004VLVEMM
6906,B004H6MV28
6909,B0004N1K48
6922,B000ED9LDU
6927,B001792ULU
6933,B0057FSPNM
6954,B0001M11BO
6960,B0045TI2XE
6967,B0000DI085
7002,B000F1LMNS
7003,B004JRSAJS
7032,B004H85S8A
7033,B00473X5N0
7042,B007KTFY2S
7056,B002Y2OWOC
7068,B000F70OXG
7070,B004GU7GK2
7096,B0026HMVS4
7110,B004391DK0
7111,B000HL5JNK
7117,B005LDVJVK
7120,B000611RH8
7122,B00BJ90R54
7161,B00FDZJN4G
7186,B00D358MK4
7188,B004VLVGKC
7196,B001GHYO4E
7239,B0019LPCPM
7251,B000WJ0YVE
7280,B000UXH9WE
7282,B00017028M
7287,B00CSSPQJC
7295,B000SAPXGS
7336,B005LVSAQ4
7337,B001E6GL66
7347,B002BWS1OM
7352,B002TXT502
7358,B00CFNVUR2
7360,B000GBXIOI
7372,B008MTGHYO
7374,B007C7J5CS
7379,B001CWSK98
7386,B005Z0OKFQ
7415,B004SKOKOK
7439,B00BL7E200
7442,B008K8JRVC
7447,B003V1BT3W
7457,B00EH1EYLO
7459,B004YV7VDU
7462,B002YJ6K2M
7472,B008478JF4
7492,B000RHXMCY
7505,B007C7JWG2
7508,B004QP7YQ8
7509,B000DZB0SS
7518,B005EKI0K8
7522,B000F4D5GC
7554,B00ADX5WZ2
7562,B00D7I6N62
7573,B0000DID5R
7597,B002DHNJE2
7601,B0049YMAJ2
7629,B001L7X1HA
7632,B000FDMLV8
7642,B00FV9GZMC
7683,B004772P0U
7687,B00794ITEO
7696,B003C4UDEY
7701,B000FICDO8
7721,B004P5B668
7730,B002E0UEBE
7755,B00EGXVG3M
7767,B000EUJK5C
7779,B00A9HBUJO
7796,B0035N3AK6
7806,B000WS039S
7820,B009NYDORA
7839,B0004MVRFG
7855,B0041HVNZ4
7856,B000SANUAE
7860,B000AOV9BU
7873,B000GJQ5C2
7890,B00515JKXW
7896,B00408NAPA
7899,B0087N7L90
7910,B000GZW5MA
7921,B000EVOQNC
7954,B000JMFCV6
7961,B000JMBFZ8
7966,B000H27PAO
7969,B001EO6ESS
7974,B004RASGOQ
8020,B008RVURIE
8036,B004U49T36
8041,B000JZHE1O
8046,B00A4ASPXU
8060,B000V1AWBU
8078,B007L3Y34S
8081,B008OUN6JK
8091,B000E5GFQE
8094,B00D3AZACM
8112,B000CRIUNU
8138,B004KARTKU
8157,B009NEJY42
