session ID,item ID
249,35263
249,17513
11,36865
11,9856
643,4780
643,54323
842,35726
842,45310
334,15371
334,3427
470,7003
470,664
412,49436
412,12694
124,7855
124,1446
236,54324
236,17201
908,15176
908,3750
240,8186
240,7806
891,9397
891,11921
629,5020
629,53162
214,2009
214,5120
226,7439
226,14737
413,32737
413,51355
156,45823
156,14530
126,46408
126,53162
395,38979
395,44437
154,31521
154,38579
154,36511
462,35606
462,54325
462,7860
792,47246
792,17513
792,15266
92,50676
92,14843
92,31528
309,20021
309,44804
309,12599
269,50822
269,31383
269,11951
262,41934
262,46882
262,18722
585,49284
585,47244
585,16103
458,20309
458,5487
458,24786
832,33436
832,13752
832,26973
152,9531
152,11750
152,26343
378,5372
378,39386
378,47400
533,1000
533,26893
533,38804
179,46702
179,49974
179,20453
285,18444
285,18114
285,41984
219,9020
219,7730
219,44804
569,34343
569,43834
569,2220
549,40879
549,14627
549,23088
427,16634
427,35927
427,11569
59,43541
59,35263
59,6697
260,26814
260,54326
260,23845
114,26673
114,24824
114,38368
668,6458
668,4945
668,36277
610,44726
610,32037
610,15142
72,38823
72,42790
72,28216
342,29028
342,38366
342,5206
68,47626
68,41713
68,34992
882,12701
882,19277
882,36604
515,50200
515,52124
515,13425
515,8213
576,31388
576,52030
576,35304
576,9081
71,40456
71,9033
71,23912
71,24147
390,19791
390,23214
390,5285
390,20970
30,39003
30,7966
30,25982
30,45069
23,23344
23,47841
23,28038
23,17368
888,38782
888,50101
888,8919
888,25751
695,37223
695,9471
695,47290
695,40681
370,12384
370,54327
370,52824
370,54328
607,43137
607,54329
607,26204
607,36970
746,21565
746,45809
746,17687
746,53167
109,20320
109,22931
109,40092
109,45237
5,17273
5,42833
5,29625
5,48374
201,23003
201,14809
201,18772
201,50187
546,9046
546,47741
546,28770
546,19063
449,4102
449,54330
449,25240
449,48916
444,27592
444,26029
444,28803
444,18291
324,26281
324,50348
324,42436
324,24546
398,44589
398,48427
398,27174
398,33697
259,1969
259,48460
259,2160
259,54331
590,35385
590,26414
590,48836
590,43445
586,54332
586,6866
586,44100
586,26840
815,51283
815,21346
815,40568
815,11939
407,23998
407,7282
407,12490
407,41676
231,32093
231,20426
231,40686
231,14215
385,28154
385,53047
385,18486
385,38819
63,33156
63,29508
63,50200
63,50910
905,54333
905,9516
905,54334
905,34135
556,54335
556,54336
556,50549
556,54337
852,15782
852,47271
852,11896
852,44279
115,33057
115,34869
115,41935
115,33006
70,2560
70,17468
70,385
70,17810
89,52124
89,14980
89,50774
89,4700
224,27194
224,17513
224,44804
224,35896
818,6922
818,39837
818,3124
818,43779
138,51619
138,12673
138,6810
138,45848
210,31758
210,45495
210,18962
210,26518
760,8455
760,2905
760,12343
760,40836
140,47526
140,28361
140,47294
140,53873
764,39246
764,10967
764,15805
764,54338
186,25577
186,5368
186,47982
186,3841
284,24783
284,4820
284,6145
284,38313
167,18043
167,23134
167,53322
167,18050
243,38166
243,29555
243,9638
243,30539
520,33131
520,14754
520,38691
520,6901
714,52693
714,12774
714,22190
714,2376
600,45823
600,13850
600,30841
600,50614
16,39763
16,26159
16,54339
16,54340
16,52517
539,24168
539,12782
539,30975
539,13519
539,39098
421,53530
421,20066
421,2763
421,34904
421,6266
91,10254
91,32053
91,49145
91,2560
91,14295
435,5223
435,42436
435,20817
435,9033
435,44080
4,2464
4,26423
4,2560
4,61
4,14995
163,54206
163,41870
163,19085
163,48368
163,19720
315,3827
315,25073
315,33380
315,49155
315,53956
308,46418
308,40568
308,42180
308,11921
308,36865
861,46966
861,6810
861,8826
861,19585
861,12180
708,25504
708,21710
708,15134
708,54341
708,43293
271,34454
271,30760
271,4438
